vertices,edges,avg_dynamic_iterations,avg_re_matroid_iterations,avg_dynamic_time,avg_re_matroid_time,avg_re_edmonds_time
50,7826,2.0,18.0,0.114,1.566,0.373
100,15152,4.0,13.0,0.567,2.144,3.227
150,27330,2.0,20.0,0.341,4.918,10.725
200,44390,1.667,19.0,0.496,9.174,16.811
250,66416,2.0,26.0,1.195,19.313,3.133
300,93149,1.333,13.0,0.969,13.933,59.654
350,124950,1.333,6.0,1.047,8.587,5.164
400,161522,1.333,36.0,1.609,65.689,117.085
450,203095,1.0,19.0,1.227,38.323,33.568
500,249500,1.333,7.667,3.087,28.837,21.698
